Project Title,Student Display Name,Organization Name,Mentors,
Maintain Bundler: a very popular and widely-used open source project,allenzhao,Ruby,"RochesterinNYC, indirect",
[FLINK-3599] Code Generation in Serializers and Comparators of Apache Flink,Gábor Horváth,Apache Software Foundation,mbalassi,
OWASP ZSC - Shellcode for Windows and Code Obfuscation Modules,Pratik,OWASP Foundation,"Johanna Curiel, sizzop",
Social API,gvso,Drupal,"dahacouk, e0ipso",
RESTful Fine Grained Authorization-as-a-Service (AZaaS)  for the WSO2 Identity Server,Manujith,WSO2,Pushpalanka Jayawardhana,
MyHDL : GEMAC Implementation,Ravi Jain,Python Software Foundation,"Christopher, Oscar Diaz",
Source Code Preserving AST,Akhilesh Srikanth,Scala,"Rory Graves, Eugene Burmako",
RISC-V port to Parallela,eliaskousk,Free and Open Source Silicion Foundation,"olofk, Andreas Olofsson",
Implementing AIA response function in Sunpy,TDWilkinson,OpenAstronomy,"SolarDrew, wtbarnes",
"Multi-language OpenCV Tutorials in Python, C++ and Java",Cartucho,OpenCV,Vincent Rabaud,
CommonsNet Web Service,edhau,FOSSASIA,"MarioB, Hpdang",
MDAnalysis: Dimension Reduction,jdetle,Python Software Foundation,"Richard Gowers, Max Linke",
PyQt implementation of GUI forms generated automatically from XML,Ondřej Pešek,OSGeo - The Open Source Geospatial Foundation,"Anna Petrasova, Vaclav Petras",
RE2 regular expressions in R,Qin Wenfeng,R project for statistical computing,"Marek Gagolewski, Toby Dylan Hocking",
Implement module to process ARC headers,adityadivekar,GNU Mailman,"Barry, yaseppochi",
Monitoring and quality assurance of open wifi networks: the client view,Jan-Tarek Butt,Freifunk,Floh1111,
Truly structured output for strace,Lineprinter,strace,"Philippe Ombredanne, Dmitry Levin",
Language model and Acoustic model for Malayalam language for speech recognition system in CMU Sphinx,imSreenadh,Indic Project,Deepa P Gopinath,
Integrating RML in the Dbpedia extraction framework,wmaroy,dbpediaspotlight,"Dimitris Kontokostas, Alexandru, natadimou",
DAG-based Rendering Pipelines for Terasology,tdgunes,MovingBlocks,"MarcinSc, manu3d, Martin Steiger",
Hardsubx - Extraction of burned in subtitles from videos,Abhinav95,CCExtractor Development,Anshul,
Increasing the adoption of nftables by finishing the iptables-translate tool,robertgc,Netfilter project,ArturoBorrero,
WEBGRASS,Mayank Agrawal,OSGeo - The Open Source Geospatial Foundation,"Massimo Di Stefano, rashadkm",
Plate Mode NURBS raytracing,boj,BRL-CAD,Sean,
GUI/Administrative interface for Jekyll,ankurs,GitHub,parkr,
OpenLambda: RPC-Aware Storage,stephensturdevant,gRPC,Vijay Pai,
Implementing Ticket payment feature for OSEM,Rishabh Saxena,openSUSE,"Hernan, Artem Chernikov",
ROS packages for versatile RBPF-based SLAM,Vladislav Tananaev,Mobile Robot Programming Toolkit (MRPT),"Jose Luis Blanco-Claraco, Buzz",
Interconvertible Layout program for CellDesigner,Kaito,National Resource for Network Biology (NRNB),Akira Funahashi,
‘aima-python’ code to accompany the book “AI: A Modern Approach”,SnShines,aimacode,PeterNorvig,
Machine Learning Trend Monitoring Analysis Engine for AppSensor,Timothy Sum,OWASP Foundation,"Giri, Juan C Calderon, jtmelton",
Near Duplicate Detection in Medical Image Archives Proposal,Irene,"Biomedical Informatics, Emory University",Pradeeban,
Mapping between the GeoTIFF metadata to ISO 19115,haonguyen,Apache Software Foundation,"rmarechal, Martin Desruisseaux",
Incremental Compilation,kushalsingh007,Chapel,"benharsh, Lydia Duncan",
Proposal for 'GUI/Administrative interface for Jekyll',mertkahyaoglu,GitHub,Ben Balter,
Flexible Fast Parser Combinators,vovapolu,Scala,Li Haoyi,
Import from Google Sheets,saurabh,CiviCRM,Eileen,
SWOON: Simultaneous Wireless Organic Optimization within Nodewatcher,marn,Freifunk,Mitar,
Rethink Libdevq,kentrix,FreeBSD,Jean-Sébastien Pédron,
pgmpy: Inference using cutset methods,deepakgarg,Python Software Foundation,"ankurankan, Pranjal Mittal",
Project Frisbee : An Antenna Array Receiver Testbed for GNSS-SDR,Ajith Peter,gnss-sdr,"cfernandez, Javier.Arribas",
Kuo's Proposal,Kuo Lu,The STE||AR Group,Andreas Schäfer,
PyBOMBS & CGRAN Enhancements,ninjacomics,GNU Radio,"mbr0wn, nwest",
Enabling Cesium for Liquid Galaxy,abhishekp,Liquid Galaxy Project,alfski,
coala: Documentation Extraction,SanketDG,Python Software Foundation,"Makman2, Lasse Schuirmann (sils1297)",
IBus-Braille Enhancement,Anwar N,Indic Project,"Nalin Sathyan, Samuel Thibault",
Self-Service Android App Development,vjs3,Mifos Initiative,Satyan,
Implementation of a signal processing pipeline to chain signal processing and machine-learning estimators.,kaichogami,Python Software Foundation,"Jean-Rémi King, agramfort, dengemann",
HPX Debugger,Parsa Amini,The STE||AR Group,Hartmut Kaiser,
Update OpenCV file storage,MYLS,OpenCV,Vadim Pisarevsky,
Adding support for the FITS data format in LabPlot,Fabian Kristof,KDE,Stefan Gerlach,
ENSIME Graphocalypse,sugakandrey,Scala,"Rory Graves, Sam Halliday",
Lint For Apertium,Jaipal,The Apertium Project,"Mikel L. Forcada, Vinit Ravishankar",
Peragro AT,abhisheksingh,Peragro,Botanic,
Mozilla Calendar – Event in a Tab,paulmorris,Mozilla,Philipp Kewisch,
PySAL: Integrating Poisson count models and spatial effects for spatial interaction modeling.,TaylorOshan,Python Software Foundation,"Carson Farmer, Philip Stephens, Serge Rey",
PowerUp (iOS),sanya,"Systers, an Anita Borg Institute Community","iogburu, Systers, an Anita Borg Institute Community, hkasera, Jennifer",
"Add ""hardware mixing"" support to HDMI2USB firmware",shashankgangrade,TimVideos.us,mithro,
Integrate structural variants calls in the tumor_pair pipeline from MUGQIC Pipeline,Tushar Dubey,Canadian Centre for Computational Genomics (C3G) - Montreal node,"Edouard Henrion, C3G_montreal",
GPGPU Support for Boolean Evaluation Used in Ray Tracing,ParamHanji,BRL-CAD,vasc,
CloudCVfy your Code,tocttou,CloudCV,Deshraj,
Linux Kernel Backports,Cristina Moraru,The Linux Foundation,"Luis Rodriguez, Rostedt",
Improving GUI and functions of Graphical flowsheet editor,AwesomeMike,ASCEND,John Pye,
Interface to send additional requested data for Eclipse Automated Error Reporting Initiative,Daniel H,Eclipse Foundation,Marcel Bruch,
MusicBrainz Solr Search Server Completion and Results Optimization,weeksio,MetaBrainz Foundation,"chirlu, Mayhem & Chaos",
Indexation over a distributed network,Reynaud Nicolas,Debian Project,"aberaud, Yomgui",
Statsmodels: State-Space Models with Markov Switching,Valera Likhosherstov,Python Software Foundation,"Kevin Sheppard, cfulton, Josef Perktold",
"A plugin system for vector-web, with listing and configuration support.",Aviral Dasgupta,Matrix.org,David Baker,
Nftables proposal:  missing features and library improvements,carlosfg,Netfilter project,Pablo,
Agent Inspection,Elvine Egoko,The Center for Connected Learning and Computer-Based Modeling,Jason,
GTE: the Future Tool in Game Theory,Jaume,Gambit - Software Tools for Game Theory,"rahulsavani, Davi Colli Tozoni, bvonstengel",
PKCS#11 certificate chooser,tyagi-prashant,GNOME,David Woodhoue,
Implementation of task-based transport for GeantV,Joel Fuents,CERN SFT,Andrei Gheata,
IPv6 OS detection,Prabhjyot Sodhi,Nmap Security Scanner,"alegen, Mathias Morbitzer",
Feature Creeper/Bug Wrangler,Tudor Coman,Nmap Security Scanner,Brandon Enright,
scikit-learn: Adding fused types to Cython files,Yen,Python Software Foundation,"joelnothman@gmail.com, Manoj Kumar",
Web UI for Apache AsterixDB,EnigmaMaker,Apache Software Foundation,imaxon,
Proposal for contribution to Chassis,Nash Vail,jQuery Foundation,"sfrisk, Rohit Mulange",
Kurmanji (Kurdish)-English MT,mgokirmak,The Apertium Project,"Vinit Ravishankar, Kevin Brubeck Unhammer",
Visualization of powerful boundary detection tools,nasyrin,R project for statistical computing,"Vijay Barve, Meng Li",
Implementing a sandboxed rendering engine and a remote UI,luyikei,VideoLAN / VLMC Project,chouquette,
Anerist,Tummala Dhanvi [:c0mrad3],Fedora Project,zoglesby,
Admin Panel Customization in Book-a-Nook,Shubham Patel,Berkman Center for Internet and Society,"jdcc, jessyurko",
Mac OS X platform developer,Vincent Dumont,Nmap Security Scanner,Daniel Miller,
Mercurial: Moving Towards Python3,Pulkit Goyal,Python Software Foundation,Martijn Pieters,
Volunteer Management System,Pranjali Kokare,"Systers, an Anita Borg Institute Community","Systers, an Anita Borg Institute Community, Tapasweni Pathak",
Apache Hama benchmark against Spark and Flink,bsikander,Apache Software Foundation,Edward J. Yoon,
Inflection aware spell checker for Malayalam,Balasankar C,Indic Project,Hrishi,
"Accessible, Responsive Music UI Controls",Dinuka,Inclusive Design Institute,"Simon Bates, michelled",
"Introduce Triangulated Surface, Polyhedral Surface and Triangle API in the OGRGeometry core and implement their support in OGR drivers for GDAL",avyavkumar,OSGeo - The Open Source Geospatial Foundation,"evenrouault@gmail.com, Rob Emanuele",
Data Visualization with Infusion,wannabecitizen,Inclusive Design Institute,Antranig Basman,
Integration of Proteomics Data to cBioPortal,pambot,cBioPortal for Cancer Genomics,"zheins, JJ",
statsmodels: Vector Error Correction Model (VECM),aleks_,Python Software Foundation,"Kevin Sheppard, Josef Perktold",
Abhinand GSoC Proposal : Extension for page creating/editing notification,Abhinand,Wikimedia Foundation,"tosfos, Yaron",
Build Deep Learning models online,gauravgupta,CloudCV,"virajp, Harsh Agrawal, Deshraj",
Easier Project Model Management,Nikita,Sigmah,"Olivier Sarrat, spMohanty",
ruby_curry : A compiler implementation for Curry built in Ruby,karthiksenthil,Portland State University,sergio,
UV Tools,SaphireS,Blender Foundation,howardt,
Improvements in the RTEMS Trace Framework,vivekk,RTEMS Project,"Isaac, Mathieu Desnoyers, Chris Johns, eepp",
Automating the uploading of binary files for git-annex,swappy,Robocomp,"Rajath Kumar M P, marcog, FCid",
Audio tag editing support for GNOME Music,saifulbkhan,GNOME,"garnacho, Felipe Borges",
Proposal for Gnome-Boxes,Radu Stochitoiu,GNOME,Zeeshan Ali,
POSIX Test Suite Compliance,charles cui,The NetBSD Foundation,"crispytoast, martin",
Feature creeping and Bug wrangling,tremblerz,Nmap Security Scanner,Daniel Miller,
Macromedia Director,iskrich,ScummVM,"sev, fuzzie",
"Implement search and replace, spell check for Builder",Fangwen Yu,GNOME,christianhergert@gmail.com,
C layer,Sergei Sakhno,KolibriOS,Albom,
Plugin system,asutoshpalai,Ruby,"fotanus, segiddins",
Optimization of neural network simulator via parallelisation,Wenyan,International Neuroinformatics Coordinating Facility,Marmaduke,
Neverland Theme Builder project,Minh,KDE,neverendingo,
LibraryBox iOS App,davidhas,Berkman Center for Internet and Society,griffey,
Qunit - Standard reporter interface,flore77,jQuery Foundation,Jörn Zaefferer,
Set-up continuous integration for Apache RYA,Amila Wijayarathna,Apache Software Foundation,Adina Crainiceanu,
Apache Spark: Build monitoring UI and related infrastructure for Spark SQL and structured streaming,taolin,Apache Software Foundation,yhuai,
NPF and blacklistd web interface,maya,The NetBSD Foundation,"elad, mbalmer, Riastradh",
Reorganizing JOSM core,Michael Zangl,OpenStreetMap,Dirk Stöcker,
A new graphical tool for deploying components,Basil,Robocomp,"pbustos, Rcintas",
Dottydoc,Felix Mulder,Scala,"Heather Miller, darkdimius",
Integrating Job and Cloud Health Information of Apache Aurora with Apache Airavata,Gourav Rattihalli,Apache Software Foundation,"Marlon Pierce, Suresh Marru",
A Job Running Client for AcousticBrainz,Kartik Gupta,MetaBrainz Foundation,Alastair,
"QGIS Styles, Symbols, and SVG Markers Sharing Repository",akbargumbira,OSGeo - The Open Source Geospatial Foundation,"elpaso, anitagraser",
coala: Automatic settings guessing,Adhityaa Chandrasekar,Python Software Foundation,"Makman2, Lasse Schuirmann (sils1297), udayan12167, manoranjan113@gmail.com",
[MITMProxy] Clemens Brunner,cle1000,The Honeynet Project,"Maximilian Hils, cortesi",
Scifi UI using Python-VTK in DIPY.VIZ,ranveeraggarwal,Python Software Foundation,"Eleftherios Garyfallidis, Marc-Alexandre Côté",
GitHub based version control of synthetic chromosomes,sakshamsaxena,Open Genome Informatics,ericiam,
Library Layout Redesign,jmigual,Mixxx DJ Software,daschuer,
Saving ODF XML of Change-tracking as a Sequence of Pre-defined Changes,Rosemary Sebastian,LibreOffice,"Thorsten Behrens, os_cib, Svante Schubert",
pgmpy: Hamiltonian Monte Carlo and No U Turn Sampler,Utkarsh,Python Software Foundation,"ankurankan, Pranjal Mittal",
Extend communication outside the LAN,amtj,Open Source Robotics Foundation,"Jose Luis Rivero, caguero",
Add class-based object-oriented programming to Typed Lua,Kevin Clancy,LabLua,Fabio Mascarenhas,
Colibri OpenADR connector,Georg Faustmann,Computational Science and Engineering at TU Wien,"Andreas Fernbach, dschachi",
Vorto : Web based Graphical IoT System Modeling Too,Tharindu,Eclipse Foundation,Vijay,
Dotplot Project Proposal,Chaitanya,Berkman Center for Internet and Society,jdcc,
GPG Verification in Homebrew,domt4,Homebrew,Andrew Janke,
Step Size Control,ankit12105012,"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano","mm, Pierangelo Masarati",
